33.783481	-12.099109	-3.826976	-13.429468	20.000000	9999999827968.000000	Sun
-33.783796	12.099433	3.826973	13.429472	20.000000	9999999827968.000000	Sun
-220.616526	-85.865220	9.063055	-24.759603	15.000000	600000.000000	Arakkis
-50.680358	-329.284432	-26.381323	4.453608	7.290000	100000.000000	Tatooine
379.683581	-121.648987	-4.885312	-11.982484	8.000000	600000.000000	Earth
-8.996592	-193.096256	29.996456	8.268780	12.000000	600000.000000	Vulcan
-163.423136	159.340606	-16.302272	-6.869469	10.000000	100000.000000	Lanthea
285.258477	-269.561188	-7.724214	-14.921589	8.100000	100000.000000	Rigel_IV
-2539.244820	-698.660473	3.058894	-4.003480	5.000000	10.000000	Missile
-214.820414	-218.226995	3.300182	16.080125	5.000000	10.000000	Missile
